Component;Description;Sug.Extra;Aft.Orders;Available;Committed;OnHand;OnOrder;Vendor
GF816195 ;STUD-HEART 7x5MM;      0 ;    116-;    322-;    322 ;      0 ;    206 ;1GZM   ;
GF817205 ;HOOP-14 GF TWIST OVAL 13X18MM;      0 ;    150-;    150-;    306 ;    156 ;      0 ;1GZM   ;
GF817206 ;HOOP-TWO TONE TEXTURED 14x13x1.90MM;      0 ;    142-;    143-;    324 ;    181 ;      1 ;1GZM   ;
GF817465 ;HOOP-POL 18X16X2.6MM;      0 ;    142-;    142-;    342 ;    200 ;      0 ;1GZM   ;
GF817839 ;HOOP-14 GF OVL RND TUBE 20X22X2.6MM;      0 ;     78-;    232-;    276 ;     44 ;    154 ;1GZM   ;
GF817840 ;HOOP-14 GF TAPERED 17X15X2.2MM;      0 ;     80-;    250-;    294 ;     44 ;    170 ;1GZM   ;
GF817841 ;HOOP-14 GF 2T SWIRL 17X16X2.5MM;      0 ;    150-;    150-;    306 ;    156 ;      0 ;1GZM   ;
GF817849 ;HOOP-14 GF TWIST 18X16.6X1.75MM;      0 ;    128-;    298-;    342 ;     44 ;    170 ;1GZM   ;
GF817871 ;HOOP-OCTAGON 18MM;      0 ;    150-;    150-;    306 ;    156 ;      0 ;1GZM   ;
GF818212 ;HOOP-14 GF 12X10X1.5MM SWIRL;      0 ;    150-;    150-;    322 ;    172 ;      0 ;1GZM   ;
GF818301 ;HOOP-14 GF 13MM HEART;      0 ;    150-;    151-;    260 ;    109 ;      1 ;1GZM   ;
GF818323 ;HOOP-14GF 14MM W/9X8MM POLISHED HEART CHARM;      0 ;    100-;    100-;    188 ;     88 ;      0 ;1GZM   ;
GF818324 ;HOOP-14GF 12X1.25 ENDLESS W/10X8MM POLISHED CROSS CHARM;      0 ;    116-;    306-;    306 ;      0 ;    190 ;1GZM   ;
GF818325 ;HOOP-14GF 12X1.25 ENDLESS W/7MM OPEN HEART CHARM;      0 ;    116-;    306-;    306 ;      0 ;    190 ;1GZM   ;
GF96958P ;PEND-CROSS POLISH 14X27X2.4MM;      0 ;     83-;    186-;    186 ;      0 ;    103 ;1GZM   ;
GF99553P ;PEND-OPEN HEART POL 16MM;      0 ;    100-;    100-;    176 ;     76 ;      0 ;1GZM   ;
GF99554P ;PEND-HEART POL 10MM;      0 ;    100-;    100-;    186 ;     86 ;      0 ;1GZM   ;
GF99578P ;CHRM-14K GF TWO TONE CROSS & JESUS 21X38X1.5MM;      0 ;     83-;    186-;    186 ;      0 ;    103 ;1GZM   ;
GF99579P ;PEND-CROSS DIA CUT 14X27X2.4MM;      0 ;     83-;    186-;    186 ;      0 ;    103 ;1GZM   ;
GF99580P ;PEND-CROSS POLISHED 12X24X2.1MM;      0 ;    100-;    100-;    176 ;     76 ;      0 ;1GZM   ;
GF99893P ;PEND-15MM PUFFED TEARDROP;      0 ;     50-;     50-;    105 ;     55 ;      0 ;1GZM   ;
W0041    ;HOOP-WG 1X10MM ENDLESS;      0 ;    304-;    404-;    430 ;     26 ;    100 ;1GZM   ;
W1419016 ;HOOP-WG 2.5X18M TWIST DC;      0 ;      5 ;    461-;    688 ;    227 ;    466 ;1GZM   ;
X0046    ;HOOP-1X20MM ENDLESS;      0 ;     48-;     48-;     94 ;     46 ;      0 ;1GZM   ;
X1019016 ;HOOP-25x18 TWISTED SQUARE D/C;      0 ;    213-;    513-;   1982 ;   1469 ;    300 ;1GZM   ;
XW0042   ;HOOP-WG 1X12MM ENDLESS;      0 ;     63-;    163-;    498 ;    335 ;    100 ;1GZM   ;
XY815193 ;HOOP-OVAL FINE RIBBON 25.5X20MM;      0 ;     40-;     40-;     40 ;      0 ;      0 ;1GZM   ;
103514-S ;HOOP-14MM 050 SNAP;      0 ;     30-;     95-;    354 ;    259 ;     65 ;1HALLM ;
1040L    ;4MM GOLD ADD-A-BEAD 'TWEENER' VERSION;      0 ;   1324-;   1524-;    780 ;    744-;    200 ;1HALLM ;
1812004  ;18K 4MM POSTBALL;      4 ;     46-;     46-;     54 ;      8 ;      0 ;1HALLM ;
